seed,team,archetype,starting_auction_budget,players_needed,starter_slots_needed,bench_slots_needed,total_spend,unused_cash,number_of_bids,number_of_wins,number_of_blocked_bids,zero_utility_blocks,feasibility_blocks,budget_blocks,roster_cap_blocks,highest_price_paid,starter_spend,bench_spend,QB_spend,RB_spend,WR_spend,TE_spend
0,Shane,positional_extremist_wr,324,9,9,6,322.33162744444445,1.66,203,9,130,0,0,130,0,202.0,361.93309922222227,36.39852822222222,0.0,3.005304888888889,305.08074922222227,14.245573333333335
0,Travis,emotional,264,9,9,6,264.0,0.0,70,9,619,0,0,619,0,256.0,371.0,6.0,2.0,260.0,2.0,0.0
1,Brad,positional_extremist_rb,281,9,9,6,281.0052777777778,0.0,92,9,531,0,0,531,0,266.0,376.0730555555556,23.932222222222222,2.0,277.00527777777774,0.0,2.0
1,Brandon,positional_extremist_rb,184,9,9,6,183.99622833333333,0.0,182,9,427,0,0,427,0,165.08333333333334,396.9898916666667,8.006336666666666,2.0,175.98989166666667,4.006336666666666,2.0
1,CJ,tier_controller,264,9,9,6,260.5769344444444,3.43,203,9,225,0,0,225,0,191.33333333333334,339.3169637777778,57.25997066666667,3.192222222222222,28.611711999999997,222.4982837777778,6.2747164444444445
1,Coby,emotional,274,9,9,6,274.0,0.0,143,9,522,0,0,522,0,258.0,394.0,6.0,2.5999999999999996,260.0,9.4,2.0
1,Evan,stars_and_scrubs,184,9,9,6,184.0011,0.0,192,9,495,0,0,495,0,88.99,296.99,93.01110000000001,2.0,180.0011,1.0,1.0
1,James,balanced,297,9,9,6,270.63652877777776,26.36,293,9,0,0,0,0,0,77.0,289.3532261111111,84.28330266666667,28.781333333333333,69.6209288888889,172.23426655555556,0.0
1,Jason,price_enforcer,209,9,9,6,176.3628068888889,32.64,218,9,54,0,0,54,0,43.564888888888895,264.38900555555557,97.97380133333334,25.569061333333334,129.62364555555558,21.1701,0.0
1,Reid,emotional,260,9,9,6,259.7013111111111,0.3,298,9,311,0,0,311,0,177.0,319.37665555555554,90.32465555555555,3.344844444444444,2.621111111111111,251.95878888888888,1.7765666666666668
1,Ryan J,value_purist,257,9,9,6,256.9932711111111,0.0,174,9,267,0,0,267,0,112.056,381.2932711111111,11.7,1.0,188.07816,67.91511111111112,0.0
1,Sam,value_purist,223,9,9,6,223.0094,0.0,223,9,216,0,0,216,0,77.0,330.3946666666667,54.614733333333334,4.474666666666667,171.53473333333335,45.0,2.0
1,Shane,price_enforcer,324,9,9,6,263.72054055555554,60.27,244,9,0,0,0,0,0,63.92,208.77685333333335,130.94368722222222,1.0,128.5937888888889,97.27818666666667,36.84856500000001
1,Travis,anchor,264,9,9,6,263.9980777777778,0.0,156,9,464,0,0,464,0,253.0,359.41446666666667,17.58361111111111,2.38,255.39249999999998,3.1719444444444442,3.053633333333333
2,Brad,price_enforcer,281,9,9,6,238.82792207449017,42.17,279,9,0,0,0,0,0,57.82042707449014,214.21324833333335,143.61467374115682,31.359474999999996,155.24116707449014,52.22728000000001,0.0
2,Brandon,value_purist,184,9,9,6,183.99534222222223,0.0,227,9,278,0,0,278,0,70.449,329.5463422222222,75.449,6.220000000000001,126.90754222222222,50.8678,0.0
2,CJ,stars_and_scrubs,264,9,9,6,264.00241777777774,0.0,114,9,541,0,0,541,0,236.0,383.9824177777778,16.02,2.0,258.78797333333335,2.1944444444444446,1.0199999999999996
2,Coby,value_purist,274,9,9,6,274.0,0.0,146,9,305,0,0,305,0,129.46,323.46000000000004,76.54,1.0,270.0,1.0,2.0
2,Evan,anchor,184,9,9,6,171.45627805555554,12.55,311,9,86,0,0,86,0,99.57833333333332,319.1564563888889,58.29982166666667,7.195799166666666,31.15263055555556,125.77038833333332,7.337459999999998
2,James,price_enforcer,297,9,9,6,244.02471023588325,52.97,241,9,0,0,0,0,0,53.322264427368694,222.8258791418479,124.19883109403537,1.0,170.72031468032773,56.70932888888889,15.595066666666668
2,Jason,positional_extremist_rb,209,9,9,6,205.581425081444,3.41,235,9,92,0,0,92,0,73.53818841477734,360.21818841477733,31.36323666666667,30.0,167.716305081444,5.21,2.65512
2,Reid,stars_and_scrubs,260,9,9,6,259.99555555555554,0.0,129,9,525,0,0,525,0,250.0,403.09833333333336,6.897222222222222,1.0,253.86833333333334,3.567222222222222,1.56
2,Ryan J,anchor,257,9,9,6,242.290939766303,14.71,330,9,38,0,0,38,0,176.01167976630302,323.699221016303,54.59171874999999,1.0,0.0,235.94142726630304,5.349512499999999
2,Sam,positional_extremist_wr,223,9,9,6,223.0,0.0,138,9,469,0,0,469,0,190.0,379.0,6.0,1.0,5.0,216.0,1.0
2,Shane,price_enforcer,324,9,9,6,266.69996400714,57.3,256,9,0,0,0,0,0,61.91667956269555,234.89537331269554,107.80459069444443,25.0,37.44988124999999,196.21232234047332,8.037760416666668
2,Travis,tier_controller,264,9,9,6,263.9964835555556,0.0,77,9,575,0,0,575,0,252.0,360.0859057777778,16.910577777777778,3.4481280000000005,255.91057777777777,1.0,3.637777777777778
3,Brad,price_enforcer,281,9,9,6,240.68815283333336,40.32,267,9,0,0,0,0,0,58.702777777777776,279.08463172222224,80.60352111111112,45.36952333333334,105.00051283333335,79.40175666666669,10.916360000000001
3,Brandon,stars_and_scrubs,184,9,9,6,176.27596000000003,7.73,142,9,412,0,0,412,0,166.83333333333334,389.9555555555556,7.320404444444444,2.0,167.9611111111111,4.314848888888889,2.0
3,CJ,balanced,264,9,9,6,242.76559993156698,21.23,266,9,0,0,0,0,0,66.14200000000001,291.8333017031999,86.93229822836709,33.88438859208877,5.729000000000001,182.4071793394782,20.745032000000002
3,Coby,value_purist,274,9,9,6,274.00173333333333,0.0,257,9,187,0,0,187,0,84.0,322.0,78.00173333333333,2.0,128.0,141.75173333333333,2.25
3,Evan,balanced,184,9,9,6,161.97878702829018,22.01,232,9,56,0,0,56,0,47.973335421773456,252.37691462518467,115.60187240310553,28.0,18.19842586562715,84.51904542177346,31.261315740889593
3,James,price_enforcer,297,9,9,6,252.3438601743878,44.66,256,9,0,0,0,0,0,57.77841104900656,216.97278104900656,138.37107912538121,0.0,157.82839906327666,65.18952222222222,29.325938888888892
3,Jason,price_enforcer,209,9,9,6,174.48606222222224,34.51,219,9,36,0,0,36,0,41.1737588888889,266.0517811111111,94.43428111111112,6.701422222222223,121.95792666666668,45.82671333333334,0.0
3,Reid,positional_extremist_wr,260,9,9,6,260.0001111111111,0.0,240,9,368,0,0,368,0,215.32833333333332,404.0001111111111,6.0,1.0,217.32833333333332,40.67177777777778,1.0
3,Ryan J,stars_and_scrubs,257,9,9,6,249.2489648888889,7.76,121,9,394,0,0,394,0,235.18055555555557,352.0429075555555,33.206057333333334,1.1111111111111112,242.197304,1.612086666666667,4.328463111111111
3,Sam,stars_and_scrubs,223,9,9,6,222.99405164353564,0.0,211,9,358,0,0,358,0,116.02977386575782,263.52872222222226,121.46532942131337,1.0,219.99405164353564,0.0,2.0
3,Shane,value_purist,324,9,9,6,324.001278182354,0.0,230,9,219,0,0,219,0,99.27355221008969,301.76507818235405,98.2362,2.2199999999999998,259.781278182354,61.0,1.0
3,Travis,anchor,264,9,9,6,262.752005,1.25,44,9,549,0,0,549,0,252.0,359.05283833333334,16.699166666666667,3.0720077777777774,255.4597222222222,1.9799999999999998,2.240275
4,Brad,tier_controller,281,9,9,6,281.00116444444444,0.0,119,9,415,0,0,415,0,257.0,373.0804888888889,26.920675555555558,6.742542222222222,264.6570222222222,8.6016,1.0
4,Brandon,emotional,184,9,9,6,184.01330292180785,0.0,262,9,312,0,0,312,0,118.4049085918184,343.95194859181845,61.06135432998949,2.533333333333333,171.25422958847454,7.212033333333334,3.0137066666666668
4,CJ,price_enforcer,264,9,9,6,204.61316333333335,59.39,248,9,3,0,0,3,0,38.0,236.9094922222222,103.70367111111112,38.0,106.61316333333335,60.0,0.0
4,Coby,positional_extremist_rb,274,9,9,6,270.4001355548223,3.6,276,9,5,0,0,5,0,109.06666666666665,228.04623252772208,168.3539030271003,26.12775586105541,181.34850999999998,56.52653636043364,6.397333333333333
4,Evan,emotional,184,9,9,6,184.0,0.0,137,9,490,0,0,490,0,176.0,384.0,6.0,2.0,179.0,1.0,2.0
4,James,emotional,297,9,9,6,297.0,0.0,118,9,492,0,0,492,0,256.0,361.0,39.0,1.0,5.0,290.0,1.0
4,Jason,emotional,209,9,9,6,208.99136888888887,0.0,203,9,399,0,0,399,0,177.0,387.6226222222222,7.368746666666667,3.7270000000000003,180.36874666666668,23.895622222222222,1.0
4,Reid,stars_and_scrubs,260,9,9,6,260.00166666666667,0.0,117,9,475,0,0,475,0,238.33333333333334,403.33333333333337,6.668333333333333,1.0,3.0,254.33333333333334,1.6683333333333332
4,Ryan J,positional_extremist_rb,257,9,9,6,257.00343164790684,0.0,173,9,423,0,0,423,0,202.0,377.00343164790684,16.0,1.0,249.36343164790685,5.640000000000001,1.0
4,Sam,positional_extremist_wr,223,9,9,6,222.99063957764255,0.0,218,9,186,0,0,186,0,159.03979624430923,373.67486735542036,11.315772222222224,0.0,2.0,217.26556846653145,3.725071111111111
4,Shane,value_purist,324,9,9,6,323.9943530789799,0.0,211,9,144,0,0,144,0,62.0,214.63909333333334,185.35525974564655,0.0,284.9552597456466,38.03909333333335,1.0
4,Travis,anchor,264,9,9,6,263.3350083333333,0.67,129,9,405,0,0,405,0,249.375,356.7980111111111,19.536997222222222,1.0,251.69529166666666,7.732772222222221,2.906944444444444
5,Brad,tier_controller,281,9,9,6,278.3153422222222,2.69,327,9,96,0,0,96,0,216.0,367.13788088888884,30.177461333333337,23.0,228.47901866666666,19.096323555555557,7.74
5,Brandon,price_enforcer,184,9,9,6,151.3857688888889,32.62,221,9,98,0,0,98,0,32.31033888888889,280.8520277777778,91.53374111111111,3.0,76.85647888888889,54.06929,17.46
5,CJ,stars_and_scrubs,264,9,9,6,262.7458777777778,1.25,104,9,497,0,0,497,0,251.12500000000003,380.24809999999997,18.497777777777777,3.2186555555555554,255.47388888888892,1.211111111111111,2.8422222222222224
5,Coby,price_enforcer,274,9,9,6,231.09108497499471,42.91,266,9,5,0,0,5,0,43.49629764166133,197.55871,159.5323749749947,15.845931111111112,102.96119097499466,112.28396288888891,0.0
5,Evan,positional_extremist_rb,184,9,9,6,183.9990778177475,0.0,249,9,346,0,0,346,0,106.43922170663637,314.89922170663635,75.09985611111111,2.46,179.5390778177475,1.0,1.0
5,James,positional_extremist_rb,297,9,9,6,297.0,0.0,134,9,520,0,0,520,0,273.0,394.0,6.0,1.0,275.0,20.0,1.0
5,Jason,positional_extremist_wr,209,9,9,6,207.16182550049584,1.84,173,9,99,0,0,99,0,71.56,275.0013199449403,118.16050555555556,13.0,75.28,116.39600883382919,2.4858166666666666
5,Reid,value_purist,260,9,9,6,259.99810489044404,0.0,239,9,174,0,0,174,0,77.19726044599956,312.37943822377736,97.61866666666667,25.530520000000006,227.667584890444,5.8,1.0
5,Ryan J,emotional,257,9,9,6,257.0095733333333,0.0,193,9,463,0,0,463,0,233.54166666666666,362.87957333333327,30.13,1.0,252.9063511111111,0.0,3.103222222222222
5,Sam,stars_and_scrubs,223,9,9,6,222.9962688888889,0.0,278,9,398,0,0,398,0,177.0,378.7684911111111,6.227777777777778,1.0,180.0,39.428491111111114,2.5677777777777777
5,Shane,value_purist,324,9,9,6,324.0048506644741,0.0,208,9,214,0,0,214,0,96.62175589411426,299.1142003385587,100.89065032591537,0.0,173.07240622002962,149.93244444444446,1.0
5,Travis,anchor,264,9,9,6,264.0,0.0,31,9,664,0,0,664,0,256.0,371.0,6.0,2.0,2.0,260.0,0.0
6,Brad,positional_extremist_rb,281,9,9,6,280.9984,0.0,97,9,513,0,0,513,0,266.0,380.9984,19.0,8.8384,268.16,2.0,2.0
6,Brandon,positional_extremist_rb,184,9,9,6,184.00088333333335,0.0,141,9,466,0,0,466,0,165.08333333333334,389.08333333333337,15.917549999999999,2.0,177.97088333333335,2.0,2.0300000000000002
6,CJ,positional_extremist_rb,264,9,9,6,263.9990822222222,0.0,155,9,479,0,0,479,0,252.0,383.9990822222222,16.0,2.3099999999999996,255.0,6.689082222222222,0.0
6,Coby,anchor,274,9,9,6,273.00215138888893,1.01,132,9,423,0,0,423,0,257.0,386.9883888888889,12.013762499999999,1.3863888888888887,261.80444444444447,8.018180555555555,1.7931374999999994
6,Evan,emotional,184,9,9,6,182.87225555555557,1.12,381,9,146,0,0,146,0,89.762,301.0456,87.82665555555555,1.4600000000000002,164.66558888888892,10.37488,6.371786666666667
6,James,anchor,297,9,9,6,290.73003500000004,6.26,75,9,387,0,0,387,0,252.0,341.7426804166667,51.98735458333333,9.20325,264.11829500000005,17.408489999999997,0.0
6,Jason,positional_extremist_wr,209,9,9,6,209.00643116666666,0.0,226,9,292,0,0,292,0,177.0,368.3441466666667,26.662284500000002,4.674146666666667,22.662284500000002,180.67,1.0
6,Reid,anchor,260,9,9,6,247.01269333333335,12.99,379,9,65,0,0,65,0,177.0,324.87269166666664,72.14000166666666,6.786149999999999,212.32237666666666,27.90416666666666,0.0
6,Ryan J,positional_extremist_rb,257,9,9,6,257.0,0.0,217,9,388,0,0,388,0,248.0,377.0,16.0,1.0,250.0,4.0,2.0
6,Sam,emotional,223,9,9,6,223.0033333333333,0.0,158,9,474,0,0,474,0,189.33333333333331,190.67,194.33333333333331,1.0,27.0,192.33333333333331,2.67
6,Shane,balanced,324,9,9,6,261.3551772222222,62.64,210,9,0,0,0,0,0,88.24,234.7596666666667,102.59551055555553,1.0,80.55063555555554,168.954875,10.849666666666666
6,Travis,positional_extremist_wr,264,9,9,6,264.0016777777778,0.0,124,9,420,0,0,420,0,249.77777777777777,361.0016777777778,16.0,3.4800000000000004,9.7439,250.77777777777777,0.0
7,Brad,emotional,281,9,9,6,280.7477666666667,0.26,111,9,491,0,0,491,0,267.0,380.00998888888887,19.73777777777778,4.902222222222222,272.07255555555554,1.5841,2.188888888888889
7,Brandon,positional_extremist_wr,184,9,9,6,182.94253954096376,1.06,253,9,126,0,0,126,0,79.353,366.83338676318596,37.10915277777778,9.501902222222224,2.0,166.83520676318597,4.6054305555555555
7,CJ,tier_controller,264,9,9,6,259.4026142222222,4.6,336,9,23,0,0,23,0,176.0933333333333,187.1755071111111,208.2271071111111,12.0,19.04054711111111,224.6230804444444,3.7389866666666673
7,Coby,emotional,274,9,9,6,273.9965755555555,0.0,176,9,406,0,0,406,0,257.0,385.9448533333333,14.051722222222223,2.917075555555556,257.0,10.26281111111111,3.8166888888888897
7,Evan,positional_extremist_wr,184,9,9,6,183.99661333333333,0.0,139,9,466,0,0,466,0,87.78666666666666,297.7666133333333,92.23,2.2300000000000004,176.78666666666666,2.0,2.979946666666667
7,James,tier_controller,297,9,9,6,296.8547911111111,0.14,115,9,346,0,0,346,0,267.0,375.29517511111106,24.559616000000002,3.333148444444445,270.9548728888889,5.58336,16.98340977777778
7,Jason,price_enforcer,209,9,9,6,175.76947421184593,33.22,212,9,50,0,0,50,0,42.0,239.27880555555555,122.4906686562904,7.429916666666668,91.22591333333332,77.11364421184595,0.0
7,Reid,value_purist,260,9,9,6,260.00667571538435,0.0,225,9,192,0,0,192,0,63.68068039144833,338.0326803914483,71.97399532393601,1.0,234.66667571538434,23.34,1.0
7,Ryan J,stars_and_scrubs,257,9,9,6,255.84191893528515,1.16,235,9,342,0,0,342,0,210.0,360.0280300463962,31.81388888888889,1.4046442686185003,212.91777777777776,38.83838577777777,2.681111111111111
7,Sam,value_purist,223,9,9,6,223.0077777777778,0.0,212,9,274,0,0,274,0,87.17333333333333,368.4077777777778,16.6,1.0,165.26666666666668,15.741111111111111,41.0
7,Shane,value_purist,324,9,9,6,324.0044198016242,0.0,220,9,187,0,0,187,0,65.37766666666667,255.17435969294996,144.83006010867422,1.0,169.012637886452,152.99178191517217,1.0
7,Travis,price_enforcer,264,9,9,6,221.602281904541,42.4,207,9,13,0,0,13,0,45.702777777777776,210.76607333333334,123.83620857120766,42.985168571207666,90.85586666666667,87.76124666666666,0.0
8,Brad,tier_controller,281,9,9,6,281.00622400000003,0.0,112,9,435,0,0,435,0,256.0,368.7949013333333,31.211322666666668,3.3808,6.414101333333334,265.84999999999997,5.361322666666667
8,Brandon,value_purist,184,9,9,6,184.00126892755765,0.0,244,9,275,0,0,275,0,75.13573938018047,362.2574022608909,42.743866666666676,2.0199999999999996,77.13573938018047,104.84552954737714,0.0
8,CJ,value_purist,264,9,9,6,263.99914622222224,0.0,283,9,189,0,0,189,0,99.78888888888889,304.55259622222223,95.44655,2.0,183.23543888888892,78.76370733333334,0.0
8,Coby,emotional,274,9,9,6,269.6968684444444,4.31,274,9,225,0,0,225,0,122.27499999999999,255.8991573333333,139.79771111111108,9.585912888888888,256.6239111111111,1.1916666666666667,2.2953777777777775
8,Evan,balanced,184,9,9,6,165.76201933333334,18.23,257,9,58,0,0,58,0,46.92,243.52575800000002,128.23626133333335,25.72501833333333,25.70233966666667,110.99697244444445,3.337688888888889
8,James,value_purist,297,9,9,6,296.9983507224439,0.0,222,9,223,0,0,223,0,84.88251365026618,335.03713294466604,64.96121777777779,18.35640666666667,210.7719440557772,67.87,0.0
8,Jason,positional_extremist_wr,209,9,9,6,205.23420591315255,3.76,208,9,94,0,0,94,0,75.17986035759701,270.13232222222223,121.10188369093035,1.0,79.61598035759701,114.3953325,10.222893055555556
8,Reid,price_enforcer,260,9,9,6,217.8190591260175,42.18,237,9,3,0,0,3,0,53.75893333333333,263.0291035704619,104.78995555555557,11.366222222222222,198.4328369037953,8.02,0.0
8,Ryan J,positional_extremist_wr,257,9,9,6,255.07712499999997,1.92,181,9,208,0,0,208,0,127.82,243.78669999999997,147.29042499999997,1.0,99.57833333333332,151.9604583333333,2.538333333333333
8,Sam,price_enforcer,223,9,9,6,187.80429251539195,35.2,208,9,28,0,0,28,0,44.14999111111111,229.99768322480554,119.80660929058642,22.616528888888894,51.940734444444445,53.87457111111111,59.3724580709475
8,Shane,stars_and_scrubs,324,9,9,6,317.3498396561683,6.65,168,9,417,0,0,417,0,251.12500000000003,375.8294173333333,17.52042232283491,1.1055555555555556,254.62663654505718,58.86331911111111,2.754328444444445
8,Travis,anchor,264,9,9,6,261.4967329061906,2.49,147,9,444,0,0,444,0,247.53563665619055,355.03894776730164,19.457785138888887,2.2394444444444446,251.5701433228572,2.4792555555555555,5.207889583333333
9,Brad,anchor,281,9,9,6,275.61744633333336,5.39,168,9,346,0,0,346,0,257.0,373.00077966666663,21.616666666666667,5.730688000000001,263.6698583333333,3.4333333333333336,2.7835666666666663
9,Brandon,price_enforcer,184,9,9,6,151.9958347222222,32.0,209,9,92,0,0,92,0,29.0,270.41459583333335,102.58123888888889,26.157458333333334,73.92809777777778,32.140635277777776,19.769643333333335
9,CJ,emotional,264,9,9,6,264.0,0.0,121,9,531,0,0,531,0,256.0,384.0,16.0,2.0,258.0,3.0,1.0
9,Coby,value_purist,274,9,9,6,274.00549944444447,0.0,166,9,238,0,0,238,0,53.950088888888885,238.1926666666667,161.81283277777777,2.0,193.77549944444445,78.23,0.0
9,Evan,balanced,184,9,9,6,167.73015400000003,16.27,225,9,94,0,0,94,0,40.21244444444444,255.91925277777779,117.81090122222224,5.619166666666666,75.63145066666667,81.96256166666667,4.5169749999999995
9,James,positional_extremist_wr,297,9,9,6,297.0,0.0,120,9,531,0,0,531,0,273.0,394.0,6.0,1.0,275.0,21.0,0.0
9,Jason,tier_controller,209,9,9,6,204.56824488888887,4.43,333,9,73,0,0,73,0,116.13194444444444,236.83567822222224,153.73256666666666,6.876789333333335,171.3776777777778,11.74496,14.568817777777777
9,Reid,tier_controller,260,9,9,6,257.30732977777774,2.7,216,9,137,0,0,137,0,189.33333333333331,181.78295466666668,225.5243751111111,26.63473777777778,11.351546666666666,209.55438933333335,9.766656000000001
9,Ryan J,positional_extremist_wr,257,9,9,6,250.93467889192777,6.08,267,9,32,0,0,32,0,75.62564555859444,298.2314944474833,88.70318444444446,0.0,67.60503444444446,183.32964444748333,0.0
9,Sam,tier_controller,223,9,9,6,220.25737144444446,2.75,270,9,108,0,0,108,0,164.71666666666667,351.7497752222223,30.50759622222222,19.634758333333338,176.11001066666668,18.749283333333334,5.763319111111111
9,Shane,emotional,324,9,9,6,324.0047933333333,0.0,85,9,538,0,0,538,0,289.0,383.9147933333333,16.09,1.0,319.02315999999996,2.0,1.9816333333333336
9,Travis,emotional,264,9,9,6,264.00333333333333,0.0,227,9,417,0,0,417,0,235.83333333333331,361.00333333333333,16.0,2.0,23.17,237.83333333333331,1.0
10,Brad,tier_controller,281,9,9,6,272.73398895398566,8.27,194,9,29,0,0,29,0,177.0,334.0661333441799,57.6678556098058,55.006070137688496,30.37706666666667,178.80992,8.540932149630526
10,Brandon,emotional,184,9,9,6,182.89905643089887,1.1,222,9,309,0,0,309,0,96.12017643089887,396.1201764308989,7.778880000000001,2.0,78.0,101.1391897642322,1.7598666666666667
10,CJ,value_purist,264,9,9,6,263.99744444444445,0.0,158,9,317,0,0,317,0,81.81333333333333,369.95744444444443,30.04,2.0,246.95744444444446,15.04,0.0
10,Coby,balanced,274,9,9,6,245.30654761111114,28.7,276,9,0,0,0,0,0,70.31466666666667,241.64286083333332,129.6636867777778,9.753937500000003,91.388694,121.2300322777778,22.933883833333333
10,Evan,price_enforcer,184,9,9,6,151.21810277777777,32.79,219,9,15,0,0,15,0,37.709520000000005,278.9018022222222,78.31630055555556,53.749520000000004,37.7645988888889,53.41210388888889,6.29188
10,James,price_enforcer,297,9,9,6,251.93401,45.07,275,9,0,0,0,0,0,55.52377333333334,222.0536488888889,132.8803611111111,0.0,182.96126222222222,68.97274777777778,0.0
10,Jason,positional_extremist_rb,209,9,9,6,206.93340892374889,2.05,121,9,297,0,0,297,0,96.16600000000001,379.2134018440687,13.720007079680178,4.0,199.5756311459711,3.3577777777777778,0.0
10,Reid,balanced,260,9,9,6,232.06592860844782,27.93,258,9,0,0,0,0,0,64.756,308.5510918360238,73.51483677242406,2.2616355555555554,198.04976638622563,18.179299444444446,13.575227222222223
10,Ryan J,price_enforcer,257,9,9,6,217.28673222222224,39.72,223,9,0,0,0,0,0,53.339380000000006,268.59370222222225,84.69303000000001,12.400095555555557,78.15299111111112,118.98021222222225,7.7534333333333345
10,Sam,positional_extremist_rb,223,9,9,6,222.83177800921337,0.15,100,9,344,0,0,344,0,201.69614444444446,369.69998927533203,15.13178873388141,1.0,205.9030731837048,11.470039994621049,4.458664830887507
10,Shane,balanced,324,9,9,6,287.4515957395184,36.55,250,9,0,0,0,0,0,81.88,271.1462777777778,92.30531796174057,1.0,124.82204444444444,102.83791796174057,58.79163333333334
10,Travis,balanced,264,9,9,6,239.0257304262042,24.97,250,9,0,0,0,0,0,69.06533333333333,273.9480621111111,78.07766831509312,21.96407461111111,74.15616703731534,142.90548877777775,0.0
11,Brad,balanced,281,9,9,6,258.2111141111111,22.79,268,9,7,0,0,7,0,59.49333333333333,262.4711388888889,114.73997522222223,11.391111111111112,172.5720818888889,74.24792111111111,0.0
11,Brandon,balanced,184,9,9,6,169.27995533333336,14.72,224,9,104,0,0,104,0,51.07805377777779,309.8945708333333,80.3853845,14.712304833333336,94.84220211111112,59.72544838888889,0.0
11,CJ,price_enforcer,264,9,9,6,224.3773705555556,39.62,216,9,16,0,0,16,0,53.75893333333333,183.02161166666667,177.3557588888889,6.610453333333334,136.028335,64.23348666666666,17.505095555555556
11,Coby,positional_extremist_rb,274,9,9,6,274.0073444444444,0.0,223,9,242,0,0,242,0,189.33333333333331,384.45599999999996,15.551344444444446,4.040000000000001,11.944122222222223,255.45599999999996,2.567222222222222
11,Evan,positional_extremist_wr,184,9,9,6,183.9962417150077,0.0,223,9,322,0,0,322,0,163.83822727056327,380.18713393722993,9.809107777777779,3.0,168.7447128261188,3.902622222222223,8.348906666666668
11,James,positional_extremist_wr,297,9,9,6,296.99608555555557,0.0,168,9,513,0,0,513,0,257.0,393.55608555555557,6.44,1.0,261.44,34.556085555555555,0.0
11,Jason,tier_controller,209,9,9,6,204.379692,4.61,390,9,67,0,0,67,0,83.03170555555556,273.1618322222222,117.21785977777779,33.33932355555555,92.3347028888889,66.97449399999999,11.731171555555557
11,Reid,stars_and_scrubs,260,9,9,6,260.0,0.0,196,9,497,0,0,497,0,237.5,404.0,6.0,1.0,19.5,238.5,1.0
11,Ryan J,positional_extremist_rb,257,9,9,6,257.0032388888889,0.0,218,9,396,0,0,396,0,201.56323888888892,387.0032388888889,6.0,1.0,253.00323888888892,3.0,0.0
11,Sam,balanced,223,9,9,6,206.25538244444445,16.74,214,9,56,0,0,56,0,64.63655,244.5025845555556,123.75279788888888,28.36914666666667,116.34068577777778,56.28877222222222,5.256777777777779
11,Shane,anchor,324,9,9,6,318.45488250000005,5.56,72,9,401,0,0,401,0,290.0,364.532625,29.922257499999997,0.0,294.0638666666667,14.858390833333333,9.532625
11,Travis,emotional,264,9,9,6,264.0046888888889,0.0,111,9,560,0,0,560,0,252.0,357.79468888888886,19.21,2.1500000000000004,256.21000000000004,3.0000000000000004,2.644688888888889
12,Brad,positional_extremist_wr,281,9,9,6,281.0034,0.0,126,9,499,0,0,499,0,267.0,381.0034,19.0,4.970000000000001,274.0334,1.0,1.0
12,Brandon,value_purist,184,9,9,6,184.00145555555557,0.0,196,9,258,0,0,258,0,59.794311111111114,330.7363,74.26515555555557,2.0,169.10145555555556,11.9,1.0
12,CJ,emotional,264,9,9,6,264.0032633333333,0.0,269,9,304,0,0,304,0,216.075,379.7318544444444,20.27140888888889,1.15,218.48055555555553,37.46358777777778,6.90912
