seed,team,n_players,n_qb,n_rb,n_wr,n_te,legal_roster,lineup_is_legal,lineup_failure_reason,budget_remaining,has_duplicate_player,keeper_sold_in_auction,enable_position_max
13,Brad,15,1,4,7,3,True,True,,210.58,False,False,True
13,Brandon,15,1,8,4,2,True,True,,173.84,False,False,True
13,CJ,15,1,5,6,3,True,True,,201.0,False,False,True
13,Coby,15,2,9,3,1,True,True,,235.88,False,False,True
13,Evan,15,4,3,7,1,True,True,,175.0,False,False,True
13,James,15,1,4,9,1,True,True,,279.0,False,False,True
13,Jason,15,2,7,5,1,True,True,,38.48,False,False,True
13,Reid,15,3,3,6,3,True,True,,251.0,False,False,True
13,Ryan J,15,3,6,4,2,True,True,,226.45,False,False,True
13,Sam,15,1,7,6,1,True,True,,169.79,False,False,True
13,Shane,15,2,7,4,2,True,True,,286.88,False,False,True
13,Travis,15,3,4,5,3,True,True,,186.24,False,False,True
14,Brad,15,2,5,7,1,True,True,,98.99,False,False,True
14,Brandon,15,2,7,3,3,True,True,,166.95,False,False,True
14,CJ,15,1,7,6,1,True,True,,76.83,False,False,True
14,Coby,15,1,7,5,2,True,True,,260.8,False,False,True
14,Evan,15,3,3,7,2,True,True,,168.81,False,False,True
14,James,15,2,3,7,3,True,True,,270.06,False,False,True
14,Jason,15,2,8,4,1,True,True,,198.05,False,False,True
14,Reid,15,1,4,7,3,True,True,,236.16,False,False,True
14,Ryan J,15,1,5,8,1,True,True,,222.0,False,False,True
14,Sam,15,3,5,6,1,True,True,,20.25,False,False,True
14,Shane,15,3,7,4,1,True,True,,178.24,False,False,True
14,Travis,15,2,6,4,3,True,True,,219.7,False,False,True
15,Brad,15,2,4,7,2,True,True,,179.5,False,False,True
15,Brandon,15,1,5,7,2,True,True,,57.79,False,False,True
15,CJ,15,1,7,6,1,True,True,,75.04,False,False,True
15,Coby,15,2,7,3,3,True,True,,234.58,False,False,True
15,Evan,15,2,4,7,2,True,True,,171.57,False,False,True
15,James,15,1,5,7,2,True,True,,94.7,False,False,True
15,Jason,15,1,4,7,3,True,True,,168.79,False,False,True
15,Reid,15,2,5,5,3,True,True,,238.37,False,False,True
15,Ryan J,15,1,9,4,1,True,True,,238.0,False,False,True
15,Sam,15,3,7,4,1,True,True,,214.0,False,False,True
15,Shane,15,3,6,3,3,True,True,,292.66,False,False,True
15,Travis,15,3,4,7,1,True,True,,251.84,False,False,True
16,Brad,15,1,7,5,2,True,True,,127.41,False,False,True
16,Brandon,15,1,7,4,3,True,True,,167.41,False,False,True
16,CJ,15,2,4,6,3,True,True,,153.04,False,False,True
16,Coby,15,2,9,2,2,True,True,,259.73,False,False,True
16,Evan,15,1,2,11,1,True,True,,175.0,False,False,True
16,James,15,3,8,3,1,True,True,,286.3,False,False,True
16,Jason,15,1,7,5,2,True,True,,156.0,False,False,True
16,Reid,15,1,3,8,3,True,True,,139.52,False,False,True
16,Ryan J,15,1,8,5,1,True,True,,239.0,False,False,True
16,Sam,15,4,5,5,1,True,True,,209.41,False,False,True
16,Shane,15,2,5,6,2,True,True,,309.0,False,False,True
16,Travis,15,1,4,8,2,True,True,,60.56,False,False,True
17,Brad,15,2,3,8,2,True,True,,111.95,False,False,True
17,Brandon,15,2,4,8,1,True,True,,168.0,False,False,True
17,CJ,15,2,7,3,3,True,True,,250.0,False,False,True
17,Coby,15,4,6,4,1,True,True,,254.63,False,False,True
17,Evan,15,1,6,5,3,True,True,,144.94,False,False,True
17,James,15,1,7,6,1,True,True,,280.0,False,False,True
17,Jason,15,2,6,6,1,True,True,,200.0,False,False,True
17,Reid,15,2,4,6,3,True,True,,232.3,False,False,True
17,Ryan J,15,2,6,4,3,True,True,,235.52,False,False,True
17,Sam,15,2,6,6,1,True,True,,85.94,False,False,True
17,Shane,15,1,8,5,1,True,True,,255.36,False,False,True
17,Travis,15,1,5,7,2,True,True,,189.0,False,False,True
18,Brad,15,2,4,8,1,True,True,,122.0,False,False,True
18,Brandon,15,3,8,3,1,True,True,,170.97,False,False,True
18,CJ,15,3,5,5,2,True,True,,249.0,False,False,True
18,Coby,15,2,7,4,2,True,True,,163.89,False,False,True
18,Evan,15,2,3,8,2,True,True,,161.98,False,False,True
18,James,15,1,5,7,2,True,True,,208.45,False,False,True
18,Jason,15,3,5,5,2,True,True,,165.11,False,False,True
18,Reid,15,3,6,4,2,True,True,,251.0,False,False,True
18,Ryan J,15,1,8,5,1,True,True,,228.0,False,False,True
18,Sam,15,1,5,6,3,True,True,,185.47,False,False,True
18,Shane,15,2,6,4,3,True,True,,280.95,False,False,True
18,Travis,15,1,6,7,1,True,True,,211.93,False,False,True
19,Brad,15,1,5,8,1,True,True,,263.64,False,False,True
19,Brandon,15,1,6,6,2,True,True,,110.39,False,False,True
19,CJ,15,1,6,5,3,True,True,,167.01,False,False,True
19,Coby,15,4,7,3,1,True,True,,260.08,False,False,True
19,Evan,15,2,5,6,2,True,True,,167.58,False,False,True
19,James,15,1,6,7,1,True,True,,204.43,False,False,True
19,Jason,15,2,6,6,1,True,True,,181.0,False,False,True
19,Reid,15,1,4,7,3,True,True,,220.69,False,False,True
19,Ryan J,15,3,5,5,2,True,True,,241.0,False,False,True
19,Sam,15,3,6,4,2,True,True,,202.75,False,False,True
19,Shane,15,1,8,5,1,True,True,,289.0,False,False,True
19,Travis,15,3,4,5,3,True,True,,171.48,False,False,True
20,Brad,15,1,3,9,2,True,True,,71.69,False,False,True
20,Brandon,15,2,6,5,2,True,True,,166.72,False,False,True
20,CJ,15,3,5,4,3,True,True,,221.22,False,False,True
20,Coby,15,1,7,5,2,True,True,,51.78,False,False,True
20,Evan,15,3,5,6,1,True,True,,171.49,False,False,True
20,James,15,3,5,6,1,True,True,,281.12,False,False,True
20,Jason,15,2,7,3,3,True,True,,132.89,False,False,True
20,Reid,15,1,6,6,2,True,True,,44.35,False,False,True
20,Ryan J,15,2,4,8,1,True,True,,248.0,False,False,True
20,Sam,15,2,7,4,2,True,True,,191.12,False,False,True
20,Shane,15,2,5,7,1,True,True,,127.53,False,False,True
20,Travis,15,1,7,5,2,True,True,,7.83,False,False,True
21,Brad,15,2,6,5,2,True,True,,266.0,False,False,True
21,Brandon,15,1,7,6,1,True,True,,144.0,False,False,True
21,CJ,15,4,4,4,3,True,True,,251.58,False,False,True
21,Coby,15,1,5,6,3,True,True,,246.06,False,False,True
21,Evan,15,1,7,5,2,True,True,,166.73,False,False,True
21,James,15,2,4,6,3,True,True,,281.0,False,False,True
21,Jason,15,3,4,5,3,True,True,,190.0,False,False,True
21,Reid,15,1,6,6,2,True,True,,244.0,False,False,True
21,Ryan J,15,1,7,6,1,True,True,,0.5,False,False,True
21,Sam,15,3,5,6,1,True,True,,214.0,False,False,True
21,Shane,15,2,6,6,1,True,True,,308.0,False,False,True
21,Travis,15,1,5,6,3,True,True,,245.0,False,False,True
22,Brad,15,1,6,5,3,True,True,,139.26,False,False,True
22,Brandon,15,2,9,2,2,True,True,,67.53,False,False,True
22,CJ,15,1,4,7,3,True,True,,232.33,False,False,True
22,Coby,15,3,8,3,1,True,True,,263.94,False,False,True
22,Evan,15,2,3,8,2,True,True,,164.91,False,False,True
22,James,15,2,4,6,3,True,True,,269.81,False,False,True
22,Jason,15,2,5,6,2,True,True,,150.55,False,False,True
22,Reid,15,1,4,8,2,True,True,,21.45,False,False,True
22,Ryan J,15,1,9,4,1,True,True,,238.0,False,False,True
22,Sam,15,3,6,5,1,True,True,,214.0,False,False,True
22,Shane,15,1,4,7,3,True,True,,135.58,False,False,True
22,Travis,15,2,5,7,1,True,True,,243.0,False,False,True
23,Brad,15,1,6,7,1,True,True,,110.09,False,False,True
23,Brandon,15,1,9,4,1,True,True,,44.8,False,False,True
23,CJ,15,2,7,3,3,True,True,,196.16,False,False,True
23,Coby,15,2,6,5,2,True,True,,225.93,False,False,True
23,Evan,15,2,4,8,1,True,True,,174.82,False,False,True
23,James,15,4,4,6,1,True,True,,288.0,False,False,True
23,Jason,15,2,4,7,2,True,True,,174.96,False,False,True
23,Reid,15,1,6,6,2,True,True,,244.0,False,False,True
23,Ryan J,15,3,6,3,3,True,True,,217.29,False,False,True
23,Sam,15,2,4,8,1,True,True,,20.04,False,False,True
23,Shane,15,1,5,7,2,True,True,,249.78,False,False,True
23,Travis,15,1,7,4,3,True,True,,248.59,False,False,True
24,Brad,15,4,3,6,2,True,True,,269.27,False,False,True
24,Brandon,15,1,6,5,3,True,True,,147.08,False,False,True
24,CJ,15,3,5,4,3,True,True,,246.79,False,False,True
24,Coby,15,2,9,2,2,True,True,,250.13,False,False,True
24,Evan,15,1,4,8,2,True,True,,171.0,False,False,True
24,James,15,1,5,8,1,True,True,,88.6,False,False,True
24,Jason,15,3,6,4,2,True,True,,88.85,False,False,True
24,Reid,15,1,7,5,2,True,True,,240.0,False,False,True
24,Ryan J,15,3,5,5,2,True,True,,166.38,False,False,True
24,Sam,15,3,7,4,1,True,True,,214.0,False,False,True
24,Shane,15,1,5,7,2,True,True,,78.13,False,False,True
24,Travis,15,1,4,8,2,True,True,,194.78,False,False,True
25,Brad,15,1,6,5,3,True,True,,245.1,False,False,True
25,Brandon,15,3,5,5,2,True,True,,69.42,False,False,True
25,CJ,15,2,5,7,1,True,True,,99.13,False,False,True
25,Coby,15,3,7,3,2,True,True,,81.66,False,False,True
25,Evan,15,2,5,7,1,True,True,,175.0,False,False,True
25,James,15,4,4,5,2,True,True,,284.74,False,False,True
25,Jason,15,1,5,6,3,True,True,,18.32,False,False,True
25,Reid,15,2,4,7,2,True,True,,200.82,False,False,True
25,Ryan J,15,1,8,5,1,True,True,,240.0,False,False,True
25,Sam,15,3,6,5,1,True,True,,82.43,False,False,True
25,Shane,15,2,5,6,2,True,True,,285.39,False,False,True
25,Travis,15,2,6,4,3,True,True,,237.2,False,False,True
26,Brad,15,3,5,6,1,True,True,,124.32,False,False,True
26,Brandon,15,2,8,4,1,True,True,,17.98,False,False,True
26,CJ,15,2,5,5,3,True,True,,236.57,False,False,True
26,Coby,15,3,6,3,3,True,True,,192.77,False,False,True
26,Evan,15,1,5,8,1,True,True,,175.0,False,False,True
26,James,15,1,5,8,1,True,True,,281.0,False,False,True
26,Jason,15,3,3,6,3,True,True,,167.77,False,False,True
26,Reid,15,2,3,8,2,True,True,,147.05,False,False,True
26,Ryan J,15,3,5,6,1,True,True,,244.2,False,False,True
26,Sam,15,2,7,3,3,True,True,,208.06,False,False,True
26,Shane,15,1,7,5,2,True,True,,44.75,False,False,True
26,Travis,15,2,7,4,2,True,True,,52.12,False,False,True
27,Brad,15,1,5,6,3,True,True,,122.86,False,False,True
27,Brandon,15,2,7,5,1,True,True,,141.1,False,False,True
27,CJ,15,2,3,9,1,True,True,,117.95,False,False,True
27,Coby,15,3,7,2,3,True,True,,258.89,False,False,True
27,Evan,15,4,3,5,3,True,True,,158.52,False,False,True
27,James,15,3,4,7,1,True,True,,133.42,False,False,True
27,Jason,15,1,5,6,3,True,True,,183.89,False,False,True
27,Reid,15,1,8,4,2,True,True,,244.0,False,False,True
27,Ryan J,15,4,6,4,1,True,True,,127.36,False,False,True
27,Sam,15,2,7,5,1,True,True,,104.19,False,False,True
27,Shane,15,2,5,6,2,True,True,,228.71,False,False,True
27,Travis,15,1,7,6,1,True,True,,255.0,False,False,True
28,Brad,15,1,4,8,2,True,True,,97.68,False,False,True
28,Brandon,15,2,7,3,3,True,True,,149.0,False,False,True
28,CJ,15,2,6,5,2,True,True,,186.14,False,False,True
28,Coby,15,2,8,4,1,True,True,,261.75,False,False,True
28,Evan,15,2,4,8,1,True,True,,173.0,False,False,True
28,James,15,2,5,5,3,True,True,,276.5,False,False,True
28,Jason,15,2,6,6,1,True,True,,58.4,False,False,True
28,Reid,15,3,3,6,3,True,True,,251.0,False,False,True
28,Ryan J,15,1,8,5,1,True,True,,227.01,False,False,True
28,Sam,15,1,6,7,1,True,True,,86.04,False,False,True
28,Shane,15,2,6,4,3,True,True,,303.24,False,False,True
28,Travis,15,1,6,6,2,True,True,,248.59,False,False,True
29,Brad,15,2,5,6,2,True,True,,58.8,False,False,True
29,Brandon,15,3,6,4,2,True,True,,16.91,False,False,True
29,CJ,15,1,5,6,3,True,True,,231.94,False,False,True
29,Coby,15,1,7,6,1,True,True,,207.24,False,False,True
29,Evan,15,3,3,8,1,True,True,,175.0,False,False,True
29,James,15,1,8,5,1,True,True,,89.35,False,False,True
29,Jason,15,1,5,8,1,True,True,,40.3,False,False,True
29,Reid,15,2,6,4,3,True,True,,246.59,False,False,True
29,Ryan J,15,3,5,4,3,True,True,,215.38,False,False,True
29,Sam,15,4,6,3,2,True,True,,185.81,False,False,True
29,Shane,15,1,5,8,1,True,True,,217.78,False,False,True
29,Travis,15,3,5,4,3,True,True,,233.78,False,False,True
30,Brad,15,4,2,7,2,True,True,,272.0,False,False,True
30,Brandon,15,1,7,6,1,True,True,,0.0,False,False,True
30,CJ,15,3,4,5,3,True,True,,189.43,False,False,True
30,Coby,15,1,6,6,2,True,True,,116.49,False,False,True
30,Evan,15,3,3,8,1,True,True,,166.26,False,False,True
30,James,15,2,7,3,3,True,True,,234.73,False,False,True
30,Jason,15,1,5,7,2,True,True,,151.86,False,False,True
30,Reid,15,1,10,2,2,True,True,,240.0,False,False,True
30,Ryan J,15,1,6,6,2,True,True,,241.0,False,False,True
30,Sam,15,3,6,5,1,True,True,,146.62,False,False,True
30,Shane,15,2,6,4,3,True,True,,285.38,False,False,True
30,Travis,15,2,5,7,1,True,True,,249.33,False,False,True
31,Brad,15,1,4,9,1,True,True,,267.13,False,False,True
31,Brandon,15,1,7,4,3,True,True,,38.31,False,False,True
31,CJ,15,1,8,5,1,True,True,,48.59,False,False,True
31,Coby,15,3,6,5,1,True,True,,166.53,False,False,True
31,Evan,15,1,4,7,3,True,True,,132.42,False,False,True
31,James,15,2,4,6,3,True,True,,247.17,False,False,True
31,Jason,15,2,4,6,3,True,True,,184.94,False,False,True
31,Reid,15,1,9,3,2,True,True,,244.0,False,False,True
31,Ryan J,15,2,5,7,1,True,True,,114.89,False,False,True
31,Sam,15,1,6,6,2,True,True,,39.97,False,False,True
31,Shane,15,4,6,4,1,True,True,,315.0,False,False,True
31,Travis,15,4,4,4,3,True,True,,1.24,False,False,True
32,Brad,15,3,4,6,2,True,True,,270.73,False,False,True
32,Brandon,15,3,7,4,1,True,True,,170.85,False,False,True
32,CJ,15,2,5,7,1,True,True,,105.0,False,False,True
32,Coby,15,1,7,5,2,True,True,,219.29,False,False,True
32,Evan,15,2,4,6,3,True,True,,160.92,False,False,True
32,James,15,2,5,5,3,True,True,,255.78,False,False,True
32,Jason,15,1,6,6,2,True,True,,193.0,False,False,True
32,Reid,15,1,4,8,2,True,True,,244.0,False,False,True
32,Ryan J,15,1,5,8,1,True,True,,242.8,False,False,True
32,Sam,15,2,5,6,2,True,True,,93.07,False,False,True
32,Shane,15,1,10,3,1,True,True,,91.57,False,False,True
32,Travis,15,2,7,4,2,True,True,,221.52,False,False,True
33,Brad,15,1,5,7,2,True,True,,148.97,False,False,True
33,Brandon,15,3,5,4,3,True,True,,50.88,False,False,True
33,CJ,15,1,7,6,1,True,True,,58.99,False,False,True
33,Coby,15,1,9,4,1,True,True,,264.25,False,False,True
33,Evan,15,3,4,7,1,True,True,,175.0,False,False,True
33,James,15,3,4,5,3,True,True,,283.5,False,False,True
33,Jason,15,2,5,6,2,True,True,,170.88,False,False,True
33,Reid,15,3,5,4,3,True,True,,244.47,False,False,True
33,Ryan J,15,1,7,6,1,True,True,,190.0,False,False,True
33,Sam,15,1,5,7,2,True,True,,23.99,False,False,True
33,Shane,15,1,7,4,3,True,True,,301.26,False,False,True
33,Travis,15,1,7,6,1,True,True,,103.24,False,False,True
34,Brad,15,2,4,7,2,True,True,,254.71,False,False,True
34,Brandon,15,4,4,4,3,True,True,,150.8,False,False,True
34,CJ,15,2,8,4,1,True,True,,219.0,False,False,True
34,Coby,15,1,6,7,1,True,True,,258.0,False,False,True
34,Evan,15,2,5,7,1,True,True,,167.66,False,False,True
34,James,15,1,7,6,1,True,True,,167.0,False,False,True
34,Jason,15,2,5,5,3,True,True,,146.86,False,False,True
34,Reid,15,1,5,6,3,True,True,,194.44,False,False,True
34,Ryan J,15,1,4,7,3,True,True,,240.0,False,False,True
34,Sam,15,3,8,3,1,True,True,,214.0,False,False,True
34,Shane,15,1,7,4,3,True,True,,301.0,False,False,True
34,Travis,15,2,5,6,2,True,True,,252.52,False,False,True
35,Brad,15,2,4,7,2,True,True,,212.47,False,False,True
35,Brandon,15,1,7,6,1,True,True,,87.55,False,False,True
35,CJ,15,1,7,6,1,True,True,,248.0,False,False,True
35,Coby,15,2,8,4,1,True,True,,262.85,False,False,True
35,Evan,15,2,4,8,1,True,True,,175.0,False,False,True
35,James,15,2,3,8,2,True,True,,277.0,False,False,True
35,Jason,15,2,5,5,3,True,True,,174.33,False,False,True
35,Reid,15,4,5,3,3,True,True,,228.42,False,False,True
35,Ryan J,15,3,5,6,1,True,True,,227.1,False,False,True
35,Sam,15,3,4,5,3,True,True,,204.77,False,False,True
35,Shane,15,2,8,3,2,True,True,,256.3,False,False,True
35,Travis,15,1,5,6,3,True,True,,128.61,False,False,True
36,Brad,15,3,4,6,2,True,True,,267.0,False,False,True
36,Brandon,15,3,5,4,3,True,True,,97.67,False,False,True
36,CJ,15,1,5,6,3,True,True,,142.85,False,False,True
36,Coby,15,2,9,3,1,True,True,,263.04,False,False,True
36,Evan,15,1,4,9,1,True,True,,175.0,False,False,True
36,James,15,2,2,8,3,True,True,,261.29,False,False,True
36,Jason,15,1,5,8,1,True,True,,55.9,False,False,True
36,Reid,15,1,8,4,2,True,True,,244.0,False,False,True
36,Ryan J,15,2,7,5,1,True,True,,99.76,False,False,True
36,Sam,15,2,5,6,2,True,True,,190.21,False,False,True
36,Shane,15,1,8,4,2,True,True,,304.04,False,False,True
36,Travis,15,2,7,4,2,True,True,,209.54,False,False,True
