player,canonical_player_id,position,nfl_team,source_roster,source_status,verified_nfl_regular_season_debut,league_veteran_status,league_college_rights_status,conversion_status,final_auction_status,auction_eligible,eligibility_reason,evidence_source,verification_date,confidence,warning
Harold Fannin Jr,harold fannin,TE,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
TreVeyon Henderson,treveyon henderson,RB,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Quinshon Judkins,quinshon judkins,RB,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Bo Nix,bo nix,QB,,historical_salaries,UNKNOWN_STATUS,,False,False,,UNKNOWN_STATUS,False,insufficient evidence for veteran auction eligibility,historical_salaries,2026-09-03,0.2,unknown_status
Courtland Sutton,courtland sutton,WR,,historical_salaries,UNKNOWN_STATUS,,False,False,,UNKNOWN_STATUS,False,insufficient evidence for veteran auction eligibility,historical_salaries,2026-09-03,0.2,unknown_status
Mike Evans,mike evans,WR,,historical_salaries,UNKNOWN_STATUS,,False,False,,UNKNOWN_STATUS,False,insufficient evidence for veteran auction eligibility,historical_salaries,2026-09-03,0.2,unknown_status
Stefon Diggs,stefon diggs,WR,,historical_salaries,UNKNOWN_STATUS,,False,False,,UNKNOWN_STATUS,False,insufficient evidence for veteran auction eligibility,historical_salaries,2026-09-03,0.2,unknown_status
Dallas Goedert,dallas goedert,TE,,historical_salaries,UNKNOWN_STATUS,,False,False,,UNKNOWN_STATUS,False,insufficient evidence for veteran auction eligibility,historical_salaries,2026-09-03,0.2,unknown_status
Jacoby Brissett,jacoby brissett,QB,,historical_salaries,UNKNOWN_STATUS,,False,False,,UNKNOWN_STATUS,False,insufficient evidence for veteran auction eligibility,historical_salaries,2026-09-03,0.2,unknown_status
Bhayshul Tuten,bhayshul tuten,RB,,historical_salaries,UNKNOWN_STATUS,,False,False,,UNKNOWN_STATUS,False,insufficient evidence for veteran auction eligibility,historical_salaries,2026-09-03,0.2,unknown_status
Devaughn Vele,devaughn vele,WR,,historical_salaries,UNKNOWN_STATUS,,False,False,,UNKNOWN_STATUS,False,insufficient evidence for veteran auction eligibility,historical_salaries,2026-09-03,0.2,unknown_status
Braelon Allen,braelon allen,RB,,historical_salaries,UNKNOWN_STATUS,,False,False,,UNKNOWN_STATUS,False,insufficient evidence for veteran auction eligibility,historical_salaries,2026-09-03,0.2,unknown_status
Patrick Mahomes,patrick mahomes,QB,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Jaxon Smith-Njigba,jaxon smith njigba,WR,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Davante Adams,davante adams,WR,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Jameson Williams,jameson williams,WR,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Marvin Harrison Jr,marvin harrison,WR,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Tyler Warren,tyler warren,TE,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Kaleb Johnson,kaleb johnson,RB,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
James Conner,james conner,RB,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
JK Dobbins,jk dobbins,RB,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Travis Etienne,travis etienne,RB,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Jaylen Warren,jaylen warren,RB,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Khalil Shakir,khalil shakir,WR,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Christian Kirk,christian kirk,WR,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Alec Pierce,alec pierce,WR,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Ollie Gordon,ollie gordon,RB,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Kenneth Gainwell,kenneth gainwell,RB,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Jaydon Blue,jaydon blue,RB,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Jordan Love,jordan love,QB,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Tucker Kraft,tucker kraft,TE,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Drake Maye,drake maye,QB,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Chris Olave,chris olave,WR,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Chuba Hubbard,chuba hubbard,RB,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Javonte Williams,javonte williams,RB,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Terry McLaurin,terry mclaurin,WR,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Rashee Rice,rashee rice,WR,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Rashod Bateman,rashod bateman,WR,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Kyle Pitts Sr,kyle pitts,TE,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Cedric Tillman,cedric tillman,WR,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Najee Harris,najee harris,RB,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Jalen Coker,jalen coker,WR,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Chris Rodriguez Jr,chris rodriguez,RB,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Kimani Vidal,kimani vidal,RB,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Mason Taylor,mason taylor,TE,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Malik Washington,malik washington,WR,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Isaiah Davis,isaiah davis,RB,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Amon-Ra St Brown,amon ra st brown,WR,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Drake London,drake london,WR,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Saquon Barkley,saquon barkley,RB,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
George Pickens,george pickens,WR,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Puka Nacua,puka nacua,WR,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Lamar Jackson,lamar jackson,QB,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Emeka Egbuka,emeka egbuka,WR,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Tony Pollard,tony pollard,RB,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
RJ Harvey,rj harvey,RB,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Dalton Kincaid,dalton kincaid,TE,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Josh Jacobs,josh jacobs,RB,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Matthew Stafford,matthew stafford,QB,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Dalton Schultz,dalton schultz,TE,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Emanuel Wilson,emanuel wilson,RB,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Jayden Daniels,jayden daniels,QB,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Trey Benson,trey benson,RB,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Jordan Addison,jordan addison,WR,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Zay Flowers,zay flowers,WR,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Colston Loveland,colston loveland,TE,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Alvin Kamara,alvin kamara,RB,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Aaron Jones Sr,aaron jones,RB,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Keenan Allen,keenan allen,WR,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Zach Charbonnet,zach charbonnet,RB,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Jordan Mason,jordan mason,RB,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Michael Pittman Jr,michael pittman,WR,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Wan'Dale Robinson,wandale robinson,WR,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Trevor Lawrence,trevor lawrence,QB,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Rico Dowdle,rico dowdle,RB,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Darren Waller,darren waller,TE,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Juwan Johnson,juwan johnson,TE,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
DK Metcalf,dk metcalf,WR,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Keon Coleman,keon coleman,WR,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Jajuan Jennings,jajuan jennings,WR,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
DeVon Achane,devon achane,RB,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Ashton Jeanty,ashton jeanty,RB,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Tee Higgins,tee higgins,WR,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Bucky Irving,bucky irving,RB,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Jakobi Meyers,jakobi meyers,WR,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Brock Purdy,brock purdy,QB,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Michael Wilson,michael wilson,WR,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Oronde Gadsden,oronde gadsden,TE,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Brenton Strange,brenton strange,TE,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Kareem Hunt,kareem hunt,RB,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Tre Harris,tre harris,WR,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Jalen McMillan,jalen mcmillan,WR,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Devin Neal,devin neal,RB,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Daniel Jones,daniel jones,QB,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Ladd McConkey,ladd mcconkey,WR,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Tyrone Tracy Jr,tyrone tracy,RB,,historical_salaries,VETERAN_ROSTERED_RELEASED,,True,False,,VETERAN_ROSTERED_RELEASED,True,2025 league roster with confirmed salary,historical_salaries_2025_raw.csv,2026-09-03,0.9,
Ja'Marr Chase,jamarr chase,WR,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Chase Brown,chase brown,RB,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
Sam LaPorta,sam laporta,TE,,historical_salaries,VETERAN_KEPT,,True,False,,VETERAN_KEPT,False,keeper decision removes from auction supply,historical_salaries,2026-09-03,1.0,
